name,longitude,latitude
부산광역시 금정구,129.1143516264669,35.21661815023276
부산광역시 북구,129.45441671848164,35.61896034114206
부산광역시 사하구,128.94987133695068,34.88726538351876
부산광역시 수영구,129.1249157885416,35.156258270136455
서울특별시 강남구,127.03751946932626,37.53859040971354
서울특별시 강동구,127.17618200877752,37.57333537775578
서울특별시 강서구,128.7743959430505,35.01391370088023
서울특별시 구로구,126.87731965163147,37.52052456252669
서울특별시 노원구,127.10869012587665,37.64115873186667
서울특별시 도봉구,127.0129246619415,37.65203745957262
서울특별시 동대문구,127.06891935990522,37.6100715760478
서울특별시 동작구,126.95254612626495,37.518782482109444
서울특별시 마포구,126.88671673785468,37.587387034560656
서울특별시 서초구,127.01101078112258,37.52534203338832
서울특별시 성동구,127.04125263483805,37.57508712637558
서울특별시 성북구,127.00842958360901,37.5830034622951
